Site,Quadrant,Site_ID,n_s,duneheight,transect length (m),dist to dune (m),dist to strand (m),specific_conductance,soil.moisture.pct,pct.OM,prop.OM,soil.moisture.prop
1,1,0101,S,1.1,102,0,50.7,89.60554371,3.275529865,0.098522167,0.000985222,0.032755299
1,2,0102,S,1.1,102,11.333,62.033,119.0578158,8.426966292,2.584269663,0.025842697,0.084269663
1,3,0103,S,1.1,102,22.666,73.366,1010.515021,19.94773519,0.348432056,0.003484321,0.199477352
1,4,0104,S,1.1,102,33.999,84.699,1986.021505,26.79012346,0.740740741,0.007407407,0.267901235
1,5,0105,S,1.1,102,45.333,96.033,1004.291845,24.96626181,1.349527665,0.013495277,0.249662618
1,6,0106,S,1.1,102,56.666,107.366,543.4408602,2.78372591,0.321199143,0.003211991,0.027837259
1,7,0107,S,1.1,102,67.999,118.699,21.98924731,0.196656834,0.237247924,0.002372479,0.001966568
1,8,0108,S,1.1,102,79.333,130.033,676.1802575,24.87437186,0.879396985,0.00879397,0.248743719
1,9,0109,S,1.1,102,90.666,141.366,149.6781116,9.351753454,0.319148936,0.003191489,0.093517535
1,10,0110,S,1.1,102,102,152.7,61.45922747,1.698301698,0.401606426,0.004016064,0.016983017
2,1,0201,S,1.4,128,0,21.4,168.5344828,1.371204701,0.587659158,0.005876592,0.013712047
2,2,0202,S,1.4,128,14.222,35.622,85.04310345,4.646464646,0,0,0.046464646
2,3,0203,S,1.4,128,28.444,49.844,167.1706263,6.680805938,0.106269926,0.001062699,0.066808059
2,4,0204,S,1.4,128,42.666,64.066,125.161987,7.246376812,7.763975155,0.077639752,0.072463768
2,5,0205,S,1.4,128,56.888,78.288,5.244060475,20.05044136,0.756620429,0.007566204,0.200504414
2,6,0206,S,1.4,128,71.111,92.511,366.5584416,24.06738869,0.360576923,0.003605769,0.240673887
2,7,0207,S,1.4,128,85.333,106.733,32.23542117,4.473161034,0.2997003,0.002997003,0.04473161
2,8,0208,S,1.4,128,99.555,120.955,35.88552916,3.741152679,0.707785642,0.007077856,0.037411527
2,9,0209,S,1.4,128,113.777,135.177,400.8639309,5.761316872,0.124533001,0.00124533,0.057613169
2,10,0210,S,1.4,128,128,149.4,135.5150215,5.11627907,0.465116279,0.004651163,0.051162791
3,1,0301,S,0.6,101,0,51.5,46.25,0.300902708,0.100704935,0.001007049,0.003009027
3,2,0302,S,0.6,101,11.222,62.722,26.31974249,4.699453552,0.546448087,0.005464481,0.046994536
