Site,Species,Occurrence,,,,,
1,CROPUN,1,1,,,,
1,SPARPAT,5,1,,,1,11
1,HYDBON,2,1,,,2,8
1,PITGRA,0,,,,3,8
1,SMIAUR,0,,,,4,11
1,MUHCAP,0,,,,5,10
1,RUBTRI,0,,,,6,7
1,PANAMA,2,1,,,7,5
1,UNIPAN,0,,,,8,10
1,PHYNOD,0,,,,9,7
1,YUCGLO,0,,,,10,12
1,IPOPES,0,,,,,
1,PINTAE,0,,,,,
1,TRIPUR,3,1,,,,
1,SALKAL,1,1,,,,
1,DISSPI,2,1,,,,
1,SENSPI,1,1,,,,
1,HETSUB,1,1,,,,
1,ANDGLO,1,1,,,,
1,CYPROT,0,,,,,
1,EUSPET,0,,,,,
1,OENDRU,0,,,,,
1,OPUDRU,0,,,,,
1,SPOVIR,0,,,,,
1,SUAMAR,2,1,,,,
1,ASTSPP,0,,,,,
2,CROPUN,0,,,,,
2,SPARPAT,5,1,,,,
2,HYDBON,1,1,,,,
2,PITGRA,0,,,,,
2,SMIAUR,0,,,,,
2,MUHCAP,0,,,,,
2,RUBTRI,0,,,,,
2,PANAMA,1,1,,,,
2,UNIPAN,1,1,,,,
2,PHYNOD,0,,,,,
2,YUCGLO,0,,,,,
2,IPOPES,0,,,,,
2,PINTAE,0,,,,,
2,TRIPUR,1,1,,,,
2,SALKAL,1,1,,,,
2,DISSPI,0,,,,,
2,SENSPI,0,,,,,
2,HETSUB,2,1,,,,
2,ANDGLO,0,,,,,
2,CYPROT,1,1,,,,
2,EUSPET,0,,,,,
2,OENDRU,0,,,,,
2,OPUDRU,0,,,,,
2,SPOVIR,0,,,,,
2,SUAMAR,0,,,,,
2,ASTSPP,0,,,,,
3,CROPUN,0,,,,,
3,SPARPAT,2,1,,,,
3,HYDBON,2,1,,,,
3,PITGRA,0,,,,,
3,SMIAUR,0,,,,,
3,MUHCAP,0,,,,,
3,RUBTRI,0,,,,,
3,PANAMA,2,1,,,,
3,UNIPAN,0,,,,,
3,PHYNOD,0,,,,,
3,YUCGLO,0,,,,,
3,IPOPES,0,,,,,
3,PINTAE,0,,,,,
3,TRIPUR,3,1,,,,
3,SALKAL,1,1,,,,
3,DISSPI,3,1,,,,
3,SENSPI,0,,,,,
3,HETSUB,4,,,,,
3,ANDGLO,0,,,,,
3,CYPROT,1,1,,,,
3,EUSPET,2,1,,,,
3,OENDRU,0,,,,,
3,OPUDRU,0,,,,,
3,SPOVIR,0,,,,,
3,SUAMAR,0,,,,,
3,ASTSPP,0,,,,,
4,CROPUN,2,1,,,,
4,SPARPAT,10,1,,,,
4,HYDBON,0,,,,,
4,PITGRA,0,,,,,
4,SMIAUR,0,,,,,
4,MUHCAP,2,1,,,,
4,RUBTRI,0,,,,,
4,PANAMA,1,1,,,,
4,UNIPAN,1,1,,,,
4,PHYNOD,1,1,,,,
4,YUCGLO,0,,,,,
4,IPOPES,0,,,,,
4,PINTAE,0,,,,,
4,TRIPUR,0,,,,,
4,SALKAL,0,,,,,
4,DISSPI,1,1,,,,
4,SENSPI,2,1,,,,
4,HETSUB,4,1,,,,
4,ANDGLO,0,,,,,
4,CYPROT,1,1,,,,
4,EUSPET,1,1,,,,
4,OENDRU,0,,,,,
4,OPUDRU,0,,,,,
4,SPOVIR,0,,,,,
4,SUAMAR,0,,,,,
4,ASTSPP,0,,,,,
5,CROPUN,0,,,,,
5,SPARPAT,3,1,,,,
5,HYDBON,2,1,,,,
5,PITGRA,0,,,,,
5,SMIAUR,0,,,,,
5,MUHCAP,1,1,,,,
5,RUBTRI,0,,,,,
5,PANAMA,1,1,,,,
5,UNIPAN,1,1,,,,
5,PHYNOD,3,1,,,,
5,YUCGLO,0,,,,,
5,IPOPES,0,,,,,
5,PINTAE,0,,,,,
5,TRIPUR,0,,,,,
5,SALKAL,0,,,,,
5,DISSPI,0,,,,,
5,SENSPI,0,,,,,
5,HETSUB,5,1,,,,
5,ANDGLO,1,1,,,,
5,CYPROT,0,,,,,
5,EUSPET,0,,,,,
5,OENDRU,1,1,,,,
5,OPUDRU,1,1,,,,
5,SPOVIR,0,,,,,
5,SUAMAR,0,,,,,
5,ASTSPP,0,,,,,
6,CROPUN,0,,,,,
6,SPARPAT,5,1,,,,
6,HYDBON,2,1,,,,
6,PITGRA,7,1,,,,
6,SMIAUR,0,,,,,
6,MUHCAP,0,,,,,
