Quadrant,Site_ID,total_cover_pct
1,0101,10
2,0102,3
3,0103,14
4,0104,13
5,0105,7
6,0106,43
7,0107,8
8,0108,100
9,0109,42
10,0110,65
1,0201,8
2,0202,0
3,0203,2
4,0204,1
5,0205,2
6,0206,1
7,0207,35
8,0208,25
9,0209,100
10,0210,30
1,0301,20
2,0302,0
3,0303,30
4,0304,14
5,0305,45
6,0306,10
7,0307,102
8,0308,43
9,0309,80
10,0310,35
1,0401,37
2,0402,20
3,0403,19
4,0404,40
5,0405,90
6,0406,60
7,0407,30
8,0408,25
9,0409,23
10,0410,55
1,0501,35
2,0502,95
3,0503,23
4,0504,14
5,0505,10
6,0506,100
7,0507,7
8,0508,28
9,0509,60
10,0510,62
1,0601,80
2,0602,95
3,0603,105
4,0604,110
5,0605,95
6,0606,80
7,0607,85
8,0608,95
9,0609,5
10,0610,29
1,0701,1
2,0702,0
3,0703,26
4,0704,15
5,0705,15
6,0706,0
7,0707,1
8,0708,35
9,0709,75
10,0710,60
1,0801,28
2,0802,30
3,0803,20
4,0804,35
5,0805,20
6,0806,95
7,0807,45
8,0808,75
9,0809,75
10,0810,42
1,0901,85
2,0902,41
3,0903,97
4,0904,97
5,0905,172
6,0906,185
7,0907,61
8,0908,10
9,0909,98
10,0910,62
1,1001,25
2,1002,37
3,1003,77
4,1004,70
5,1005,68
6,1006,47
7,1007,65
8,1008,40
9,1009,100
10,1010,85
